exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
919069.6477890015,substation,,,WESTERN SUBSTATION,"115 kV substation, P 9%",1,site,115.0,0.08509904146194458
307109.15699601173,substation,,,MIKE DONTEEN,"115 kV substation, P 3%",2,site,115.0,0.02843603305518627
255846.26868367195,substation,,,NORTH WENATCHEE,"115 kV substation, P 2%",3,site,115.0,0.023689469322562218
87069.50359046459,substation,,,TAP209273,"115 kV substation, P 1%",4,site,115.0,0.008061991073191166
51363.74840499696,line,0.0,3.253177435665922,PUD NO 1 OF CHELAN COUNTY 115 kV #211391,0.0 of 3 mi above 40%,5,mi,115.0,0.1520322561264038
47655.90143348623,line,0.0,3.22136612609454,PUD NO 1 OF CHELAN COUNTY 115 kV #211383,0.0 of 3 mi above 40%,6,mi,115.0,0.1520322561264038
41304.42291498184,substation,,,TERRY,"115 kV substation, P 0%",7,site,115.0,0.0038244836032390594
41039.0561332094,line,0.0,1.13896272916097,PUD NO 1 OF CHELAN COUNTY 115 kV #211359,0.0 of 1 mi above 40%,8,mi,115.0,0.07585817575454712
38171.95080336342,line,0.0,1.3634312330834282,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211433,0.0 of 1 mi above 40%,9,mi,115.0,0.07807816565036774
37702.045253086355,line,0.0,54.44159970131843,BONNEVILLE POWER ADMINISTRATION 345 kV #200126,0.0 of 54 mi above 40%,10,mi,345.0,0.060086652636528015
35648.15979272197,line,0.0,7.607680413338018,BONNEVILLE POWER ADMINISTRATION 500 kV #200083,0.0 of 8 mi above 40%,11,mi,500.0,0.09268777817487717
35428.61594788033,line,0.0,7.573302630818128,BONNEVILLE POWER ADMINISTRATION 345 kV #200125,0.0 of 8 mi above 40%,12,mi,345.0,0.09268777817487717
34262.78227950642,line,0.0,40.869972903430146,PUD NO 1 OF DOUGLAS COUNTY 230 kV #205765,0.0 of 41 mi above 40%,13,mi,230.0,0.06371499598026276
34246.89210702539,line,0.0,54.437919229204766,BONNEVILLE POWER ADMINISTRATION 500 kV #200076,0.0 of 54 mi above 40%,14,mi,500.0,0.05665242671966553
33945.687713619314,line,0.0,54.43585466497592,BONNEVILLE POWER ADMINISTRATION 345 kV #200127,0.0 of 54 mi above 40%,15,mi,345.0,0.05665242671966553
33498.1352297919,line,0.0,40.85254456027125,PUD NO 1 OF DOUGLAS COUNTY 230 kV #205764,0.0 of 41 mi above 40%,16,mi,230.0,0.06371499598026276
31700.948937762318,line,0.0,6.122561016977488,"OKANOGAN COUNTY ELEC COOP, INC 115 kV #205966",0.0 of 6 mi above 40%,17,mi,115.0,0.15713684260845184
31588.80844382005,line,0.0,33.45313590281169,BONNEVILLE POWER ADMINISTRATION 500 kV #200087,0.0 of 33 mi above 40%,18,mi,500.0,0.05665242671966553
29597.324021922,line,0.0,7.675127083069387,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211400,0.0 of 8 mi above 40%,19,mi,115.0,0.09268777817487717
28422.079794108868,substation,,,TAP209247,"115 kV substation, P 0%",20,site,115.0,0.0026316740550100803
26704.32860031724,substation,,,TAP209281,"115 kV substation, P 0%",21,site,115.0,0.0024726230185478926
24376.637742230003,line,0.0,6.157774336740431,PUD NO 1 OF CHELAN COUNTY 115 kV #211392,0.0 of 6 mi above 40%,22,mi,115.0,0.09947021305561066
19465.754700751248,line,0.0,7.607138716399367,BONNEVILLE POWER ADMINISTRATION 230 kV #201009,0.0 of 8 mi above 40%,23,mi,230.0,0.09268777817487717
18367.800442501903,substation,,,SUNNYSLOPE,"115 kV substation, P 0%",24,site,115.0,0.0017007222631946206
18367.800442501903,substation,,,TAP209246,"115 kV substation, P 0%",25,site,115.0,0.0017007222631946206
17236.35903167714,line,0.0,7.636288346584708,BONNEVILLE POWER ADMINISTRATION 230 kV #205766,0.0 of 8 mi above 40%,26,mi,230.0,0.09268777817487717
13873.918478851932,line,0.0,3.576019733432799,PUD NO 1 OF DOUGLAS COUNTY 230 kV #206972,0.0 of 4 mi above 40%,27,mi,230.0,0.07585817575454712
12256.803545317684,line,0.0,0.3876911465634135,PUD NO 1 OF CHELAN COUNTY 115 kV #211371,0.0 of 0 mi above 40%,28,mi,115.0,0.08035746961832047
