exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
7063322.7825164795,substation,,,MT GATE JUNCTION,"69 kV substation, P 65%",1,site,69.0,0.6540113687515259
6702712.869644165,substation,,,MT GATE,"69 kV substation, P 62%",2,site,69.0,0.6206215620040894
3160029.2086601257,substation,,,STILLWATER,"69 kV substation, P 29%",3,site,69.0,0.2925952970981598
1886620.899371857,line,5.49188909185836,22.57776626652762,line 115 kV #313076,5.5 of 23 mi above 40%,4,mi,115.0,0.6619228720664978
497166.1224961281,substation,,,CASCADE,"115 kV substation, P 5%",5,site,115.0,0.04603390023112297
391176.59479379654,substation,,,UNKNOWN309844,"69 kV substation, P 4%",6,site,69.0,0.03622005507349968
108146.56689763069,substation,,,FLANNIGAN,"230 kV substation, P 1%",7,site,230.0,0.010013571009039879
87069.50359046459,substation,,,KNUAF,"69 kV substation, P 1%",8,site,69.0,0.008061991073191166
71852.99096603082,line,0.0,41.22049273465454,PACIFIC GAS & ELECTRIC COMPANY 500 kV #304311,0.0 of 41 mi above 40%,9,mi,500.0,0.12085322290658951
65596.94969439505,line,0.0,41.22055583682445,PACIFIC GAS & ELECTRIC COMPANY 500 kV #308400,0.0 of 41 mi above 40%,10,mi,500.0,0.11920291930437088
63097.358293898295,line,0.0,24.659705273094236,line 500 kV #311473,0.0 of 25 mi above 40%,11,mi,500.0,0.18242552876472473
62396.956073994465,line,0.0,24.689569033348047,line 500 kV #306131,0.0 of 25 mi above 40%,12,mi,500.0,0.18242552876472473
51809.76404679327,line,0.0,12.187839913554019,PACIFIC GAS & ELECTRIC COMPANY 500 kV #308797,0.0 of 12 mi above 40%,13,mi,500.0,0.11757213622331619
46864.801599904604,line,0.0,41.57900576605706,PACIFIC GAS & ELECTRIC COMPANY 230 kV #311718,0.0 of 42 mi above 40%,14,mi,230.0,0.22000710666179657
41304.42291498184,substation,,,UNKNOWN304670,"69 kV substation, P 0%",15,site,69.0,0.0038244836032390594
